username,user_id,score,total,required_score,result
mylasthope,322446934633611264,9,25,25,failed
kakao_s_molokom.,1031482255169830962,1,3,2,failed
mylasthope,322446934633611264,0,25,25,failed
mylasthope,322446934633611264,0,25,25,failed
mylasthope,322446934633611264,0,25,25,failed
mylasthope,322446934633611264,0,25,25,failed
mylasthope,322446934633611264,0,25,25,failed
mylasthope,322446934633611264,0,25,25,failed
mylasthope,322446934633611264,6,25,25,failed
jinzo_unchained.,698160922069434428,2,3,2,passed
levanesku,991276661196718080,0,25,25,failed
levanesku,991276661196718080,21,25,25,failed
novasko,350776853948006411,2,3,2,passed
ember0574,1154114816085078207,3,3,2,passed
0xshibun,927259450073546842,3,3,2,passed
ebuka_gmi,1044663699174064129,19,25,25,failed
hdm368358,998684964252024992,2,3,2,passed
pjmazz,1316785522869272667,0,26,26,failed
chiefdahunsi,830005527743561739,3,3,2,passed
nguyen1401932,1243070462821404674,0,3,2,failed
avinsmith,898575806614368268,3,3,2,passed
papalalas,1082199336638746644,3,3,2,passed
taiwo6006,1032264148412796968,3,3,2,passed
dejavu9580,875423052937166888,2,3,2,passed
noob2711,1082540310804054016,3,3,2,passed
jarvis779,839509069769342998,3,3,2,passed
_vinay86_,807491810196586498,1,3,2,failed
qprecious296,1110853542081736754,3,3,2,passed
0xshibun,927259450073546842,3,3,2,passed
raymoney.,957577213870497792,2,3,2,passed
medvejon0k,818833786791919656,1,3,2,failed
hmd7ai,876022729386647563,2,3,2,passed
s_tranik,878851522547580928,2,3,2,passed
gorbako,939990645840425032,1,3,2,failed
rexa302,894183226833260554,3,3,2,passed
factsparade,930464061341179944,1,3,2,failed
phongt15,1003195889881448453,1,3,2,failed
klaxsiix,894117027172712498,2,3,2,passed
.mrjudge,703194194575097918,3,3,2,passed
.samanee,965018529428553768,3,3,2,passed
ftm0302,964951542199365642,3,3,2,passed
morphine96,1100151777518690417,3,3,2,passed
agnes1891,1032583700266897422,2,3,2,passed
hdm368358,998684964252024992,2,3,2,passed
mrcarter2020,1002225538510893076,2,3,2,passed
kay09491,1202060210491891864,2,3,2,passed
hossein7491,998688543515869244,0,3,2,failed
oxvalox,1004445577989341204,1,3,2,failed
valtair_adanaan,1075497803901571182,2,3,2,passed
yawer008_58068,1270418999704031285,0,25,25,failed
oxamire,1092071428318302298,3,3,2,passed
yawer008_58068,1270418999704031285,0,25,25,failed
yawer008_58068,1270418999704031285,0,25,25,failed
yawer008_58068,1270418999704031285,0,25,25,failed
oxtrion,1099059852183081134,3,3,2,passed
yawer008_58068,1270418999704031285,0,25,25,failed
moradi2233,1125716588159565916,3,3,2,passed
yawer008_58068,1270418999704031285,0,25,25,failed
yawer008_58068,1270418999704031285,0,25,25,failed
yawer008_58068,1270418999704031285,0,25,25,failed
