Discord ID,Post Count,Events Count,Total XP to Remove,Status
919282909460963390,0,3,100,DRY RUN
1169550865510699030,0,3,100,DRY RUN
912699645988335616,0,3,100,DRY RUN
1027446335814762507,0,3,100,DRY RUN
918955790017101895,0,3,100,DRY RUN
1169316333494739064,0,3,100,DRY RUN
1159496311289172039,0,3,100,DRY RUN
891736789168046130,0,3,100,DRY RUN
1168513204301869111,0,3,100,DRY RUN
1018813393022505020,0,3,100,DRY RUN
1024165013075808266,0,3,100,DRY RUN
1024067983200497745,0,3,100,DRY RUN
1024045646593925261,0,3,100,DRY RUN
920400396344758372,0,3,100,DRY RUN
919228293792804885,0,3,100,DRY RUN
919283823437557851,0,3,100,DRY RUN
1122572669825585243,0,3,100,DRY RUN
1027426637073096724,0,3,100,DRY RUN
1167477995712282708,0,3,100,DRY RUN
893217584646852638,0,3,100,DRY RUN
1167831238321651795,0,3,100,DRY RUN
914160332535132180,0,3,100,DRY RUN
913842521656938506,0,3,100,DRY RUN
1169184427696459798,0,3,100,DRY RUN
1166381099371462728,0,3,100,DRY RUN
1168636383112478781,0,3,100,DRY RUN
1168514951623745630,0,3,100,DRY RUN
1018566612057591870,0,3,100,DRY RUN
1164232914289053836,0,3,100,DRY RUN
1166417529418293384,0,3,100,DRY RUN
1168517232721150045,0,3,100,DRY RUN
1167828355480027260,0,3,100,DRY RUN
1164265313693618237,0,3,100,DRY RUN
1335929236137185311,0,3,100,DRY RUN
1166648405859242000,0,3,100,DRY RUN
1166326690637684756,0,3,100,DRY RUN
1169335014362710017,0,3,100,DRY RUN
1169376687029493910,0,3,100,DRY RUN
1167850232952918209,0,3,100,DRY RUN
1168559612027490346,0,3,100,DRY RUN
1159737035188355142,0,3,100,DRY RUN
1166041739774132355,0,3,100,DRY RUN
1168626635247993006,0,3,100,DRY RUN
920399572990300250,0,3,90,DRY RUN
1165279202912784464,0,3,90,DRY RUN
1165980671764860929,0,3,90,DRY RUN
1166660617353039935,0,3,90,DRY RUN
1165289169195651084,0,3,90,DRY RUN
919241471331278888,0,3,85,DRY RUN
913140528546213928,0,3,85,DRY RUN
1014052385238286346,1,4,80,DRY RUN
391295629411876864,1,4,80,DRY RUN
1329256660614774845,0,3,80,DRY RUN
910871831823679528,0,3,75,DRY RUN
945885240411435092,1,3,75,DRY RUN
889712079102152725,0,3,75,DRY RUN
1077193182065987614,1,3,75,DRY RUN
1027537771046387712,0,2,75,DRY RUN
914405336708939807,0,2,75,DRY RUN
1027624286220992663,0,2,75,DRY RUN
919318850988802120,0,2,75,DRY RUN
1337277478837948487,0,3,75,DRY RUN
1024165929631875142,0,2,75,DRY RUN
900378536987205633,0,2,75,DRY RUN
1159496385918410782,0,2,75,DRY RUN
919330267288723509,0,2,75,DRY RUN
919319654781034517,0,2,75,DRY RUN
921136255469764648,0,2,75,DRY RUN
1159468616404709388,0,2,75,DRY RUN
1024061686719725678,0,2,75,DRY RUN
919192120789696532,0,2,75,DRY RUN
914621326717763615,0,2,75,DRY RUN
1026504580848160918,0,2,75,DRY RUN
918595869861879829,0,2,75,DRY RUN
1027446333084286976,0,2,75,DRY RUN
919196455317684225,0,2,75,DRY RUN
1346446790836092938,1,3,75,DRY RUN
1164265222584942592,0,2,75,DRY RUN
1018581203995074651,0,2,75,DRY RUN
1169372550615285780,0,2,75,DRY RUN
1169312914704978000,0,2,75,DRY RUN
1165293358063833171,0,2,75,DRY RUN
1166371649977864202,0,2,75,DRY RUN
1166326633897140325,0,2,75,DRY RUN
1166018084948156530,0,2,75,DRY RUN
1167478213618958477,0,2,75,DRY RUN
1164272844977471674,0,2,75,DRY RUN
1166037664466731059,0,2,75,DRY RUN
1165297200994201751,0,2,75,DRY RUN
1166664833672958033,0,2,75,DRY RUN
1166374084695830608,0,2,75,DRY RUN
1166050952571265165,0,2,75,DRY RUN
1169324768286224424,0,2,75,DRY RUN
1027628927990112267,0,2,75,DRY RUN
912795847069167676,0,2,75,DRY RUN
918948746409181257,0,2,75,DRY RUN
913849379490787368,0,2,75,DRY RUN
1164265292130680922,0,2,75,DRY RUN
1166378195352813569,0,2,75,DRY RUN
1169374915154149518,0,2,75,DRY RUN
1169369725076258927,0,2,75,DRY RUN
1159468676286779504,0,2,75,DRY RUN
919241466906300446,0,2,75,DRY RUN
1166639605269925902,0,2,75,DRY RUN
1164232961529495693,0,2,75,DRY RUN
1167843695425486960,0,2,75,DRY RUN
1166652010037268565,0,2,75,DRY RUN
914393830843879424,0,2,75,DRY RUN
1164266503449890856,0,2,75,DRY RUN
1166021964637405264,0,2,75,DRY RUN
1027446332031504404,0,2,75,DRY RUN
1169336716562284565,0,2,75,DRY RUN
1169319545903784057,0,2,75,DRY RUN
1027499667015094292,0,2,75,DRY RUN
1166326584786038816,0,2,75,DRY RUN
1169343392443011136,0,2,75,DRY RUN
1335891661301223434,0,2,75,DRY RUN
1167506713604268142,0,2,75,DRY RUN
1024036460413845605,0,2,75,DRY RUN
921010084845330442,0,2,75,DRY RUN
1169182263217492049,0,2,75,DRY RUN
1166055816252620905,0,2,75,DRY RUN
1166326731859300475,1,2,75,DRY RUN
914165462156337234,0,2,75,DRY RUN
1164232907066454017,0,2,75,DRY RUN
893164238829420574,0,2,75,DRY RUN
1018561936499167394,0,2,75,DRY RUN
914393603881709569,0,2,75,DRY RUN
1169178768208842774,0,2,75,DRY RUN
1169322018114654260,0,2,75,DRY RUN
1026502131345268736,0,2,75,DRY RUN
1166326606529298516,0,2,75,DRY RUN
919330276075782195,0,2,75,DRY RUN
1018553710529482813,0,2,75,DRY RUN
1018785272470712362,0,2,75,DRY RUN
1168632747145826345,0,2,75,DRY RUN
1166410577917247562,0,2,75,DRY RUN
1159468737217445940,0,2,75,DRY RUN
1166033259621257276,0,2,75,DRY RUN
1018592118165471364,0,2,75,DRY RUN
1024162088358252565,1,2,75,DRY RUN
919226731011903509,0,2,75,DRY RUN
1448544033415631080,0,2,75,DRY RUN
1169188386993614982,0,2,75,DRY RUN
1167478185164804177,0,2,75,DRY RUN
1167860862913101984,0,2,75,DRY RUN
1170321776442613784,0,2,75,DRY RUN
1168562588024582254,0,2,75,DRY RUN
696699187030523934,0,3,65,DRY RUN
1166065831336230943,0,2,65,DRY RUN
619931064961466388,1,4,60,DRY RUN
996015773258629160,1,3,60,DRY RUN
919312588058288179,0,2,60,DRY RUN
1166678261762359389,0,2,60,DRY RUN
919642206506213447,0,4,50,DRY RUN
895039114104147978,1,2,50,DRY RUN
888744281655869480,1,4,50,DRY RUN
974963926301310986,0,2,50,DRY RUN
1125725678160068668,0,2,50,DRY RUN
997431173523439616,0,3,50,DRY RUN
778988561407803392,0,2,50,DRY RUN
1293217416007913574,1,2,50,DRY RUN
895206925698990081,0,2,50,DRY RUN
867000944407740436,0,2,50,DRY RUN
981850857899434044,0,2,50,DRY RUN
945272050686255145,0,2,50,DRY RUN
897764322321760267,0,2,50,DRY RUN
979073656544178256,0,2,50,DRY RUN
895263089723863100,0,2,50,DRY RUN
962609214071664650,0,2,50,DRY RUN
1318695278173487154,0,2,50,DRY RUN
981586601316597791,0,2,50,DRY RUN
981592061314748466,0,2,50,DRY RUN
1318677695470633083,0,2,50,DRY RUN
1314509474605694998,0,2,50,DRY RUN
1317692520511307826,0,2,50,DRY RUN
1318753380121972786,0,2,50,DRY RUN
1318684682300162070,0,2,50,DRY RUN
1317007059056590849,0,2,50,DRY RUN
1313921621664469092,0,2,50,DRY RUN
1318072817396351018,0,2,50,DRY RUN
1318155661393268757,0,2,50,DRY RUN
981275513484091464,0,2,50,DRY RUN
979081663118209075,0,2,50,DRY RUN
1314221443269136384,1,2,50,DRY RUN
1006985923285749820,0,2,50,DRY RUN
1006976267997958275,0,2,50,DRY RUN
979248936571244565,0,2,50,DRY RUN
981582678560227388,0,2,50,DRY RUN
981273005223182407,0,2,50,DRY RUN
894660888110456893,0,2,50,DRY RUN
965264524691247144,0,2,50,DRY RUN
1006968279983722566,0,2,50,DRY RUN
1321200451000995910,0,2,50,DRY RUN
1318189160829550646,0,2,50,DRY RUN
1317723437070028812,0,2,50,DRY RUN
1321054352588406804,0,2,50,DRY RUN
1318698763899899995,0,2,50,DRY RUN
1002268771773337704,0,2,50,DRY RUN
1002593341596237884,0,2,50,DRY RUN
1002303072913076355,0,2,50,DRY RUN
1002233506535067702,0,2,50,DRY RUN
1002295392941117591,0,2,50,DRY RUN
1072933356502782043,0,2,50,DRY RUN
1002626214860685443,0,2,50,DRY RUN
1321235585280507964,0,2,50,DRY RUN
1318676013047222282,0,2,50,DRY RUN
1315940426506702865,0,2,50,DRY RUN
1003019899318321312,0,2,50,DRY RUN
1002634540759654571,0,2,50,DRY RUN
1003351537592058087,0,2,50,DRY RUN
1004440254054408272,0,2,50,DRY RUN
1003013184250204290,0,2,50,DRY RUN
1003357348997382184,0,2,50,DRY RUN
1003345201416384593,0,2,50,DRY RUN
1004446194782699521,0,2,50,DRY RUN
1003373664143683645,0,2,50,DRY RUN
1004630733622620250,0,2,50,DRY RUN
1321205568815501373,0,2,50,DRY RUN
1318679463562580043,0,2,50,DRY RUN
1314481108683067422,0,2,50,DRY RUN
1317590430832918550,1,2,50,DRY RUN
1318160444908638230,0,2,50,DRY RUN
1317306823698550835,0,2,50,DRY RUN
1318673436117045371,0,2,50,DRY RUN
